time,strategy,state,action,label,confidence,filtered_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,width,height
2026-06-30T14:24:34.245484,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.290589,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.349407,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.427651,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.476475,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.543187,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.609516,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.676579,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.739195,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.804521,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.879343,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:34.952346,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.010910,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.079506,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.158122,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.221238,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.285058,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.343119,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.407952,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.474051,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.542987,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.607068,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.677948,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.739064,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.809947,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.877277,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:35.941819,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.008464,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.075894,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.147599,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.210508,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.276491,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.339414,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.404528,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.469809,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.537182,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.608746,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.675272,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.747713,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.808757,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.875661,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:36.941725,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.007436,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.075462,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.145189,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.210802,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.275861,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.340138,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.408691,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.480643,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.542548,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.606977,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.676762,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.749775,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.813287,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.875139,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:37.945157,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.010161,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.077313,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.150643,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.211320,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.276686,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.342736,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.410524,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.476015,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.552517,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.617806,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.675946,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.743061,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.811374,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.876797,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:38.942525,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.010720,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.075666,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.147524,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.207942,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.275874,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.343368,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.408804,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.475569,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.542419,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.609393,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.675848,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.744111,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.806539,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.873466,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:39.949115,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:40.008609,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:40.076590,adaptive,search,continue_search,,,0.0,,,,,,,,
2026-06-30T14:24:40.142118,adaptive,search,continue_search,,,0.0,,,,,,,,
